rue_1,rue_2,int_no,borough,acc,pi,acc_rate,ln_acc_rate,all_pedest,fi,fli,fri,fti,cli,cri,cti,ln_pi,ln_fi,ln_fli,ln_fri,ln_fti,ln_cli,ln_cri,ln_cti,tot_crossw,number_of_,avg_crossw,tot_road_w,median,green_stra,half_phase,any_ped_pr,ped_countd,lt_protect,lt_restric,lt_prot_re,parking,north_veh,north_ped,east_veh,east_ped,south_veh,south_ped,west_veh,west_ped,total_lane,of_exclusi,any_exclus,commercial,curb_exten,all_red_an,new_half_r,distdt,ln_distdt,traffic_10000,ped_100
Millen,Sauvé,1398,Ahuntsic-Cartierville,0,997.864990234375,0.0,0.0,False,20454.205078125,804.058227539062,1136.05651855469,18514.08984375,219246.203125,276746.78125,10708554.0,6.90561819076538,9.92594432830811,6.68967199325562,7.03531789779663,9.82628726959229,12.2979507446289,12.530858039856,16.1865520477295,74.8000030517578,4,18.7000007629395,61.5,True,False,False,False,False,False,False,False,1.0,1224.24353027344,215.988098144531,8165.08203125,332.621673583984,155.624176025391,203.02880859375,10909.2548828125,246.226425170898,4,0,False,1,False,False,False,8671.8203125,9.06783390045166,2.0454204082489,9.97865009307861
Chabanel,Christophe-Colomb,1177,Ahuntsic-Cartierville,0,849.96826171875,0.0,0.0,False,30454.6953125,696.221008300781,646.490905761719,29111.984375,84157.1640625,199863.734375,20620218.0,6.74519920349121,10.3239946365356,6.54566717147827,6.47155904769897,10.278904914856,11.3404407501221,12.2053909301758,16.8417835235596,63.4000015258789,3,21.1000003814697,56.2999992370605,True,False,False,False,False,True,True,True,1.0,13720.5263671875,604.932373046875,611.679870605469,141.661376953125,16122.4892578125,103.37451171875,0.0,0.0,6,0,False,0,False,False,False,8319.6171875,9.02637195587158,3.0454695224762,8.49968242645264
Saint-Antoine,Vinet,1399,Sud-Ouest,1,520.568176269531,0.001920977972887526,0.15987412504547985,False,14081.9853515625,2301.23779296875,0.0,11780.7470703125,507771.90625,0.0,1917711.75,6.25492095947266,9.55265235900879,7.74120187759399,0.0,9.37422180175781,13.1377878189087,0.0,14.4666433334351,42.0999984741211,3,14.0,38.0999984741211,False,False,False,False,False,True,False,True,1.0,0.0,0.0,12911.4970703125,74.6091232299805,1170.48828125,357.784637451172,0.0,88.1744155883789,2,1,True,0,False,False,False,1781.25305175781,7.48507213592529,1.40819847583771,5.20568180084229
Bullion,Saint-Joseph,520,Plateau-Mont-Royal,0,2108.0439453125,0.0,0.0,False,23909.060546875,513.559814453125,1084.18176269531,22311.3203125,370280.46875,516564.125,26437272.0,7.65351581573486,10.082013130188,6.24136590957642,6.98858118057251,10.0128488540649,12.8220157623291,13.1549549102783,17.0902843475342,74.1999969482422,4,18.6000003814697,64.0,True,False,True,True,True,False,True,True,1.0,0.0,570.208557128906,12128.310546875,388.778564453125,1483.6171875,345.580963134766,10297.1328125,803.475708007812,5,0,False,0,False,False,True,2856.78295898438,7.95745134353638,2.39090609550476,21.0804386138916
Newman,Accès Vichy,16663,Lasalle,0,532.080383300781,0.0,0.0,False,26893.07421875,1480.82348632812,767.902282714844,24644.349609375,221273.5,62659.6171875,2669807.25,6.27679491043091,10.1996240615845,7.30035400390625,6.64366292953491,10.1123027801514,12.3071546554565,11.0454721450806,14.7975168228149,100.800003051758,4,25.2000007629395,81.0999984741211,True,False,False,False,True,False,False,False,0.0,533.31640625,308.130126953125,13481.3583984375,54.0021896362305,635.94775390625,115.945877075195,12242.4521484375,54.0021896362305,8,2,True,0,False,False,False,7518.25390625,8.92508888244629,2.68930745124817,5.32080364227295
Côte-Saint-Luc,Stratford/Wilson,17,C¶te-des-Neiges-Notre-Dame-de-Graces,0,808.194030761719,0.0,0.0,False,20332.30078125,1414.94750976562,2297.68383789062,16619.669921875,239231.75,497787.84375,6958614.0,6.69480180740356,9.91996574401855,7.25484800338745,7.73965692520142,9.71834182739258,12.3851881027222,13.1179294586182,15.7554912567139,77.5,4,19.3999996185303,50.7000007629395,False,False,False,False,False,False,False,False,0.0,3127.19921875,159.315460205078,7867.548828125,162.634521484375,0.0,227.356430053711,9337.552734375,258.887603759766,4,0,False,2,False,False,False,5518.14990234375,8.615797996521,2.03323006629944,8.08194065093994
4 e Avenue / 5 e Avenue,Champlain,12651,Verdun,0,1869.93408203125,0.0,0.0,False,14753.6494140625,3161.23681640625,2884.923828125,8707.4892578125,748686.625,1801172.375,9847439.0,7.53365802764893,9.59924602508545,8.05871868133545,7.96725416183472,9.07193946838379,13.5260763168335,14.4039478302002,16.1027221679688,77.1999969482422,3,25.7000007629395,38.7999992370605,True,False,False,False,True,False,False,False,0.0,5100.8798828125,39.4015960693359,3761.12646484375,231.484375,1645.15197753906,169.098510742188,4246.49169921875,1429.94958496094,2,0,False,0,False,False,False,5019.82177734375,8.52114963531494,1.47536492347717,18.6993408203125
Decelles,Swail,1547,C¶te-des-Neiges-Notre-Dame-de-Graces,0,3392.32275390625,0.0,0.0,False,25613.849609375,1748.8759765625,1099.85961914062,22765.11328125,3453685.75,304409.96875,51257352.0,8.12926959991455,10.1508884429932,7.46672916412354,7.00293779373169,10.0329847335815,15.05495262146,12.6261310577393,17.7523708343506,42.0999984741211,3,14.0,37.7999992370605,False,False,True,True,True,True,True,True,1.0,11726.8818359375,1974.80310058594,0.0,867.716491699219,11038.2314453125,276.771636962891,2848.73559570312,273.031494140625,2,0,False,0,False,False,True,3747.46508789062,8.228835105896,2.56138491630554,33.9232292175293
Léo-Pariseau,Parc,327,Plateau-Mont-Royal,1,1584.07080078125,0.0006312849144790805,0.13572658631627368,True,21229.73828125,955.591430664062,2797.16162109375,17476.986328125,316584.65625,222811.0625,7182223.5,7.36775302886963,9.96315765380859,6.86232995986938,7.93635988235474,9.76863956451416,12.6653461456299,12.314079284668,15.7871198654175,55.4000015258789,3,18.5,50.2999992370605,True,False,True,True,True,False,True,True,0.0,12475.4248046875,79.6561279296875,3752.7529296875,1080.78881835938,5001.56103515625,331.297088623047,0.0,92.3286972045898,4,0,False,0,False,True,False,1128.6240234375,7.02875471115112,2.12297391891479,15.8407077789307
Jean-Paul-Riopel pl.,Saint-Antoine / St-Pierre,436,Ville-Marie,0,8660.8046875,0.0,0.0,True,15286.994140625,4357.427734375,909.376281738281,10020.189453125,7892736.5,1983793.25,43926940.0,9.06656265258789,9.63475799560547,8.37963676452637,6.8127589225769,9.21235656738281,15.8814525604248,14.5005207061768,17.5980377197266,53.5999984741211,4,13.3999996185303,48.7999992370605,False,False,False,True,True,False,False,False,0.0,6875.263671875,2006.52209472656,0.0,1779.43884277344,0.0,2181.48779296875,8411.73046875,2693.35571289062,3,0,False,0,False,False,False,843.848999023438,6.73797369003296,1.52869939804077,86.6080474853516
